13002,ocd-division/country:us/state:ga/sldu:2
13003,ocd-division/country:us/state:ga/sldu:3
13004,ocd-division/country:us/state:ga/sldu:4
13005,ocd-division/country:us/state:ga/sldu:5
13006,ocd-division/country:us/state:ga/sldu:6
13007,ocd-division/country:us/state:ga/sldu:7
13008,ocd-division/country:us/state:ga/sldu:8
13009,ocd-division/country:us/state:ga/sldu:9
13010,ocd-division/country:us/state:ga/sldu:10
13011,ocd-division/country:us/state:ga/sldu:11
13012,ocd-division/country:us/state:ga/sldu:12
13013,ocd-division/country:us/state:ga/sldu:13
13014,ocd-division/country:us/state:ga/sldu:14
13015,ocd-division/country:us/state:ga/sldu:15
13016,ocd-division/country:us/state:ga/sldu:16
13017,ocd-division/country:us/state:ga/sldu:17
13018,ocd-division/country:us/state:ga/sldu:18
13019,ocd-division/country:us/state:ga/sldu:19
13020,ocd-division/country:us/state:ga/sldu:20
13021,ocd-division/country:us/state:ga/sldu:21
13022,ocd-division/country:us/state:ga/sldu:22
13023,ocd-division/country:us/state:ga/sldu:23
13024,ocd-division/country:us/state:ga/sldu:24
13025,ocd-division/country:us/state:ga/sldu:25
13026,ocd-division/country:us/state:ga/sldu:26
13027,ocd-division/country:us/state:ga/sldu:27
13028,ocd-division/country:us/state:ga/sldu:28
13029,ocd-division/country:us/state:ga/sldu:29
13030,ocd-division/country:us/state:ga/sldu:30
13031,ocd-division/country:us/state:ga/sldu:31
13032,ocd-division/country:us/state:ga/sldu:32
13033,ocd-division/country:us/state:ga/sldu:33
13034,ocd-division/country:us/state:ga/sldu:34
13035,ocd-division/country:us/state:ga/sldu:35
13036,ocd-division/country:us/state:ga/sldu:36
13037,ocd-division/country:us/state:ga/sldu:37
13038,ocd-division/country:us/state:ga/sldu:38
13039,ocd-division/country:us/state:ga/sldu:39
13040,ocd-division/country:us/state:ga/sldu:40
13041,ocd-division/country:us/state:ga/sldu:41
13042,ocd-division/country:us/state:ga/sldu:42
13043,ocd-division/country:us/state:ga/sldu:43
13044,ocd-division/country:us/state:ga/sldu:44
13045,ocd-division/country:us/state:ga/sldu:45
13046,ocd-division/country:us/state:ga/sldu:46
13047,ocd-division/country:us/state:ga/sldu:47
13048,ocd-division/country:us/state:ga/sldu:48
13049,ocd-division/country:us/state:ga/sldu:49
13050,ocd-division/country:us/state:ga/sldu:50
13051,ocd-division/country:us/state:ga/sldu:51
13052,ocd-division/country:us/state:ga/sldu:52
13053,ocd-division/country:us/state:ga/sldu:53
13054,ocd-division/country:us/state:ga/sldu:54
13055,ocd-division/country:us/state:ga/sldu:55
13056,ocd-division/country:us/state:ga/sldu:56
15001,ocd-division/country:us/state:hi/sldu:1
15002,ocd-division/country:us/state:hi/sldu:2
15003,ocd-division/country:us/state:hi/sldu:3
15004,ocd-division/country:us/state:hi/sldu:4
15005,ocd-division/country:us/state:hi/sldu:5
15006,ocd-division/country:us/state:hi/sldu:6
15007,ocd-division/country:us/state:hi/sldu:7
15008,ocd-division/country:us/state:hi/sldu:8
15009,ocd-division/country:us/state:hi/sldu:9
15010,ocd-division/country:us/state:hi/sldu:10
15011,ocd-division/country:us/state:hi/sldu:11
15012,ocd-division/country:us/state:hi/sldu:12
15013,ocd-division/country:us/state:hi/sldu:13
15014,ocd-division/country:us/state:hi/sldu:14
15015,ocd-division/country:us/state:hi/sldu:15
15016,ocd-division/country:us/state:hi/sldu:16
15017,ocd-division/country:us/state:hi/sldu:17
15018,ocd-division/country:us/state:hi/sldu:18
15019,ocd-division/country:us/state:hi/sldu:19
15020,ocd-division/country:us/state:hi/sldu:20
15021,ocd-division/country:us/state:hi/sldu:21
15022,ocd-division/country:us/state:hi/sldu:22
15023,ocd-division/country:us/state:hi/sldu:23
15024,ocd-division/country:us/state:hi/sldu:24
15025,ocd-division/country:us/state:hi/sldu:25
16001,ocd-division/country:us/state:id/sldu:1
16002,ocd-division/country:us/state:id/sldu:2
16003,ocd-division/country:us/state:id/sldu:3
16004,ocd-division/country:us/state:id/sldu:4
16005,ocd-division/country:us/state:id/sldu:5
16006,ocd-division/country:us/state:id/sldu:6
16007,ocd-division/country:us/state:id/sldu:7
16008,ocd-division/country:us/state:id/sldu:8
16009,ocd-division/country:us/state:id/sldu:9
16010,ocd-division/country:us/state:id/sldu:10
16011,ocd-division/country:us/state:id/sldu:11
16012,ocd-division/country:us/state:id/sldu:12
16013,ocd-division/country:us/state:id/sldu:13
16014,ocd-division/country:us/state:id/sldu:14
16015,ocd-division/country:us/state:id/sldu:15
16016,ocd-division/country:us/state:id/sldu:16
16017,ocd-division/country:us/state:id/sldu:17
16018,ocd-division/country:us/state:id/sldu:18
16019,ocd-division/country:us/state:id/sldu:19
16020,ocd-division/country:us/state:id/sldu:20
16021,ocd-division/country:us/state:id/sldu:21
16022,ocd-division/country:us/state:id/sldu:22
16023,ocd-division/country:us/state:id/sldu:23
16024,ocd-division/country:us/state:id/sldu:24
16025,ocd-division/country:us/state:id/sldu:25
16026,ocd-division/country:us/state:id/sldu:26
16027,ocd-division/country:us/state:id/sldu:27
16028,ocd-division/country:us/state:id/sldu:28
16029,ocd-division/country:us/state:id/sldu:29
16030,ocd-division/country:us/state:id/sldu:30
16031,ocd-division/country:us/state:id/sldu:31
16032,ocd-division/country:us/state:id/sldu:32
16033,ocd-division/country:us/state:id/sldu:33
16034,ocd-division/country:us/state:id/sldu:34
